Lower tier local authorities Code,Lower tier local authorities,Age (17 categories) Code,Age (17 categories),Ethnic group (6 categories) Code,Ethnic group (6 categories),Economic activity status (10 categories) Code,Economic activity status (10 categories),Observation
E06000016,Leicester,3,Aged 18 to 19 years,2,"Black, Black British, Black Welsh, Caribbean or African",9,Economically inactive: Other,21
E06000016,Leicester,3,Aged 18 to 19 years,3,Mixed or Multiple ethnic groups,-8,Does not apply,0
E06000016,Leicester,3,Aged 18 to 19 years,3,Mixed or Multiple ethnic groups,1,Economically active (excluding full-time students): In employment,90
E06000016,Leicester,3,Aged 18 to 19 years,3,Mixed or Multiple ethnic groups,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,61
E06000016,Leicester,3,Aged 18 to 19 years,3,Mixed or Multiple ethnic groups,3,Economically active and a full-time student: In employment,79
E06000016,Leicester,3,Aged 18 to 19 years,3,Mixed or Multiple ethnic groups,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,37
E06000016,Leicester,3,Aged 18 to 19 years,3,Mixed or Multiple ethnic groups,5,Economically inactive: Retired,0
E06000016,Leicester,3,Aged 18 to 19 years,3,Mixed or Multiple ethnic groups,6,Economically inactive: Student,197
E06000016,Leicester,3,Aged 18 to 19 years,3,Mixed or Multiple ethnic groups,7,Economically inactive: Looking after home or family,16
E06000016,Leicester,3,Aged 18 to 19 years,3,Mixed or Multiple ethnic groups,8,Economically inactive: Long-term sick or disabled,8
E06000016,Leicester,3,Aged 18 to 19 years,3,Mixed or Multiple ethnic groups,9,Economically inactive: Other,31
E06000016,Leicester,3,Aged 18 to 19 years,4,White,-8,Does not apply,0
E06000016,Leicester,3,Aged 18 to 19 years,4,White,1,Economically active (excluding full-time students): In employment,822
E06000016,Leicester,3,Aged 18 to 19 years,4,White,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,339
E06000016,Leicester,3,Aged 18 to 19 years,4,White,3,Economically active and a full-time student: In employment,335
E06000016,Leicester,3,Aged 18 to 19 years,4,White,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,183
E06000016,Leicester,3,Aged 18 to 19 years,4,White,5,Economically inactive: Retired,1
E06000016,Leicester,3,Aged 18 to 19 years,4,White,6,Economically inactive: Student,1516
E06000016,Leicester,3,Aged 18 to 19 years,4,White,7,Economically inactive: Looking after home or family,87
E06000016,Leicester,3,Aged 18 to 19 years,4,White,8,Economically inactive: Long-term sick or disabled,64
E06000016,Leicester,3,Aged 18 to 19 years,4,White,9,Economically inactive: Other,182
E06000016,Leicester,3,Aged 18 to 19 years,5,Other ethnic group,-8,Does not apply,0
E06000016,Leicester,3,Aged 18 to 19 years,5,Other ethnic group,1,Economically active (excluding full-time students): In employment,44
E06000016,Leicester,3,Aged 18 to 19 years,5,Other ethnic group,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,15
E06000016,Leicester,3,Aged 18 to 19 years,5,Other ethnic group,3,Economically active and a full-time student: In employment,38
E06000016,Leicester,3,Aged 18 to 19 years,5,Other ethnic group,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,20
E06000016,Leicester,3,Aged 18 to 19 years,5,Other ethnic group,5,Economically inactive: Retired,0
E06000016,Leicester,3,Aged 18 to 19 years,5,Other ethnic group,6,Economically inactive: Student,220
E06000016,Leicester,3,Aged 18 to 19 years,5,Other ethnic group,7,Economically inactive: Looking after home or family,6
E06000016,Leicester,3,Aged 18 to 19 years,5,Other ethnic group,8,Economically inactive: Long-term sick or disabled,2
E06000016,Leicester,3,Aged 18 to 19 years,5,Other ethnic group,9,Economically inactive: Other,18
E06000016,Leicester,4,Aged 20 to 24 years,-8,Does not apply,-8,Does not apply,0
E06000016,Leicester,4,Aged 20 to 24 years,-8,Does not apply,1,Economically active (excluding full-time students): In employment,0
E06000016,Leicester,4,Aged 20 to 24 years,-8,Does not apply,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E06000016,Leicester,4,Aged 20 to 24 years,-8,Does not apply,3,Economically active and a full-time student: In employment,0
E06000016,Leicester,4,Aged 20 to 24 years,-8,Does not apply,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E06000016,Leicester,4,Aged 20 to 24 years,-8,Does not apply,5,Economically inactive: Retired,0
E06000016,Leicester,4,Aged 20 to 24 years,-8,Does not apply,6,Economically inactive: Student,0
E06000016,Leicester,4,Aged 20 to 24 years,-8,Does not apply,7,Economically inactive: Looking after home or family,0
E06000016,Leicester,4,Aged 20 to 24 years,-8,Does not apply,8,Economically inactive: Long-term sick or disabled,0
E06000016,Leicester,4,Aged 20 to 24 years,-8,Does not apply,9,Economically inactive: Other,0
E06000016,Leicester,4,Aged 20 to 24 years,1,"Asian, Asian British or Asian Welsh",-8,Does not apply,0
E06000016,Leicester,4,Aged 20 to 24 years,1,"Asian, Asian British or Asian Welsh",1,Economically active (excluding full-time students): In employment,5284
E06000016,Leicester,4,Aged 20 to 24 years,1,"Asian, Asian British or Asian Welsh",2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,668
E06000016,Leicester,4,Aged 20 to 24 years,1,"Asian, Asian British or Asian Welsh",3,Economically active and a full-time student: In employment,1488
E06000016,Leicester,4,Aged 20 to 24 years,1,"Asian, Asian British or Asian Welsh",4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,481
E06000016,Leicester,4,Aged 20 to 24 years,1,"Asian, Asian British or Asian Welsh",5,Economically inactive: Retired,6
E06000016,Leicester,4,Aged 20 to 24 years,1,"Asian, Asian British or Asian Welsh",6,Economically inactive: Student,3097
E06000016,Leicester,4,Aged 20 to 24 years,1,"Asian, Asian British or Asian Welsh",7,Economically inactive: Looking after home or family,420
E06000016,Leicester,4,Aged 20 to 24 years,1,"Asian, Asian British or Asian Welsh",8,Economically inactive: Long-term sick or disabled,83
E06000016,Leicester,4,Aged 20 to 24 years,1,"Asian, Asian British or Asian Welsh",9,Economically inactive: Other,527
E06000016,Leicester,4,Aged 20 to 24 years,2,"Black, Black British, Black Welsh, Caribbean or African",-8,Does not apply,0
E06000016,Leicester,4,Aged 20 to 24 years,2,"Black, Black British, Black Welsh, Caribbean or African",1,Economically active (excluding full-time students): In employment,741
E06000016,Leicester,4,Aged 20 to 24 years,2,"Black, Black British, Black Welsh, Caribbean or African",2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,266
E06000016,Leicester,4,Aged 20 to 24 years,2,"Black, Black British, Black Welsh, Caribbean or African",3,Economically active and a full-time student: In employment,402
E06000016,Leicester,4,Aged 20 to 24 years,2,"Black, Black British, Black Welsh, Caribbean or African",4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,243
E06000016,Leicester,4,Aged 20 to 24 years,2,"Black, Black British, Black Welsh, Caribbean or African",5,Economically inactive: Retired,0
E06000016,Leicester,4,Aged 20 to 24 years,2,"Black, Black British, Black Welsh, Caribbean or African",6,Economically inactive: Student,908
E06000016,Leicester,4,Aged 20 to 24 years,2,"Black, Black British, Black Welsh, Caribbean or African",7,Economically inactive: Looking after home or family,100
E06000016,Leicester,4,Aged 20 to 24 years,2,"Black, Black British, Black Welsh, Caribbean or African",8,Economically inactive: Long-term sick or disabled,24
E06000016,Leicester,4,Aged 20 to 24 years,2,"Black, Black British, Black Welsh, Caribbean or African",9,Economically inactive: Other,126
E06000016,Leicester,4,Aged 20 to 24 years,3,Mixed or Multiple ethnic groups,-8,Does not apply,0
E06000016,Leicester,4,Aged 20 to 24 years,3,Mixed or Multiple ethnic groups,1,Economically active (excluding full-time students): In employment,545
E06000016,Leicester,4,Aged 20 to 24 years,3,Mixed or Multiple ethnic groups,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,137
E06000016,Leicester,4,Aged 20 to 24 years,3,Mixed or Multiple ethnic groups,3,Economically active and a full-time student: In employment,125
E06000016,Leicester,4,Aged 20 to 24 years,3,Mixed or Multiple ethnic groups,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,54
E06000016,Leicester,4,Aged 20 to 24 years,3,Mixed or Multiple ethnic groups,5,Economically inactive: Retired,0
E06000016,Leicester,4,Aged 20 to 24 years,3,Mixed or Multiple ethnic groups,6,Economically inactive: Student,401
E06000016,Leicester,4,Aged 20 to 24 years,3,Mixed or Multiple ethnic groups,7,Economically inactive: Looking after home or family,70
E06000016,Leicester,4,Aged 20 to 24 years,3,Mixed or Multiple ethnic groups,8,Economically inactive: Long-term sick or disabled,59
